id,name,id,niche-url,walkscore-url,compass-url,streeteasy-url,streetadvisor-url,cityreality-url,images
0,Battery Park,fa6153f8-5a27-4f7a-8f36-3e3417b3c129,https://www.niche.com/places-to-live/n/battery-park-city-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Battery_Park_City,https://www.compass.com/neighborhood-guides/nyc/battery-park-city/,https://streeteasy.com/neighborhoods/battery-park-city/,https://www.streetadvisor.com/battery-park-city-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/battery-park-city,https://images.ctfassets.net/ypfe9l9zihcg/47CuyDK9DWwCyage4wES86/e11b952c64f6dcf787c4043c2691080e/battery_park_city_around_the_block_youll_fall_in_love_with_3.jpg
1,Chelsea,b7b9f690-bb58-4b0f-ae8e-077338fa322d,https://www.niche.com/places-to-live/n/chelsea-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Chelsea,https://www.compass.com/neighborhood-guides/nyc/chelsea/,https://streeteasy.com/neighborhoods/chelsea/,https://www.streetadvisor.com/chelsea-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/chelsea,"https://images.ctfassets.net/ypfe9l9zihcg/2ySb8AF8fmwQkY6IqwIK84/77cc48d1766899807a816dbd0cc4f170/chelsea_around_the_block_the_lifestyle_chelsea_market_nyc_1.jpg, https://images.ctfassets.net/ypfe9l9zihcg/2j8NEzHigUKgMECO8yqaiG/14dc2f6b1b95d76637211871f32584ea/chelsea_around_the_block_what_not_to_expect_chelsea_nyc_taxis.jpg"
2,Chinatown,1633958e-356c-4972-89bb-ad3be45ee716,https://www.niche.com/places-to-live/n/chinatown-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Chinatown,https://www.compass.com/neighborhood-guides/nyc/chinatown/,,https://www.streetadvisor.com/chinatown-manhattan-new-york-city-new-york,,"https://images.ctfassets.net/ypfe9l9zihcg/5QTZbibEo8aG06qGO8S2yW/3e7aea69713adfb996b9e5b97e051fd4/chinatown_around_the_block_what_to_expect_5.jpg, https://images.ctfassets.net/ypfe9l9zihcg/1o2jAtvQIEOk2O6q4kMaUW/5a403f1fe9d6639ab77b3e9a6b3d0572/chinatown_around_the_block_rental_market_2b.jpg"
3,Civic Center,n/a,https://www.niche.com/places-to-live/n/civic-center-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Civic_Center,https://www.compass.com/neighborhood-guides/nyc/tribeca/,https://streeteasy.com/neighborhoods/tribeca/,https://www.streetadvisor.com/civic-center-manhattan-new-york-city-new-york,,https://images.ctfassets.net/ypfe9l9zihcg/5f6kATE6nK8WookEgSmaEi/dab2e70a99f63aedbeb40c91d71647db/tribeca_around_the_block_what_to_expect_4b.jpg
4,East Harlem,1c651aca-6988-42d9-81f6-40ba0dc447e0,https://www.niche.com/places-to-live/n/east-harlem-new-york-city-ny/,https://www.walkscore.com/NY/New_York/East_Harlem,https://www.compass.com/neighborhood-guides/nyc/east-harlem/,https://streeteasy.com/neighborhoods/east-harlem/,https://www.streetadvisor.com/east-harlem-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/east-harlem,"https://images.ctfassets.net/ypfe9l9zihcg/6a2gfhJ8AgGGcE4WowiQA6/29b57c37b2d19ab11c4753007668cebd/east_harlem_around_the_block_1.jpg, https://images.ctfassets.net/ypfe9l9zihcg/3DdQ5iXbfWy2Ec4KqosKmC/faf21e0874ad3562897639b9a7e9d623/east_harlem_around_the_block_youll_fall_in_love_with_1.jpg"
5,East Village,6e05091e-96fc-4040-86b7-4c31bf5536f0,https://www.niche.com/places-to-live/n/east-village-new-york-city-ny/,https://www.walkscore.com/NY/New_York/East_Village,https://www.compass.com/neighborhood-guides/nyc/east-village/,https://streeteasy.com/neighborhoods/east-village/,https://www.streetadvisor.com/east-village-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/east-village,"https://images.ctfassets.net/ypfe9l9zihcg/1oYpxqMiKYeAYSYwumWOUu/402fa9dfbf77e8cba13489d1cbfb3f97/east_village_east_village_hero.jpg, https://images.ctfassets.net/ypfe9l9zihcg/498ucAF1GMQyyKksggyuOq/10af949fceb4e58d0265006d3647f111/east_village_around_the_block_the_lifestyle_3.jpg"
6,Financial District,f2450ce8-5a21-4964-ab5f-87e840236716,https://www.niche.com/places-to-live/n/financial-district-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Financial_District,https://www.compass.com/neighborhood-guides/nyc/financial-district/,https://streeteasy.com/neighborhoods/financial-district/,https://www.streetadvisor.com/financial-district-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/financial-district,"https://images.ctfassets.net/ypfe9l9zihcg/7gUa5Gy8fukEIsmAayKKuO/62aeb91be2cba55fe34fa839bbcbc57c/financial_district_around_the_block_1.jpg, https://images.ctfassets.net/ypfe9l9zihcg/3wluRWlyEUcU8202qSm4Ea/6e0fa4d5a617cfee6663f923f3a0ec28/financial_district_around_the_block_the_lifestyle_1.jpg"
7,Flatiron,29e75387-77ab-45f0-a6dc-3a25a26e6a31,https://www.niche.com/places-to-live/n/flatiron-district-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Flatiron_District,https://www.compass.com/neighborhood-guides/nyc/flatiron/,https://streeteasy.com/neighborhoods/flatiron/,https://www.streetadvisor.com/flatiron-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/flatiron-union-square,"https://images.ctfassets.net/ypfe9l9zihcg/hBUJML61lCkYe0skIGEEK/94c2e1be17de51b84dc91f4e2fe1dc80/flatiron_around_the_block_youll_fall_in_love_with_3.jpg, https://images.ctfassets.net/ypfe9l9zihcg/6J8IMfQvdK2EESe26iO6UM/f20ceda8f31827b6804b739a38f7ae4c/flatiron_around_the_block_the_lifestyle_7.jpg"
8,Gramercy,7822716c-d18b-4895-b6a7-d308f26da0ed,https://www.niche.com/places-to-live/n/gramercy-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Gramercy_Park,https://www.compass.com/neighborhood-guides/nyc/gramercy/,https://streeteasy.com/neighborhoods/gramercy-park/,https://www.streetadvisor.com/gramercy-park-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/gramercy-park,https://images.ctfassets.net/ypfe9l9zihcg/5xK17RsUdG0E2O6cMgwMui/d3217dfa92033af2d31f83269da1b40b/gramercy_around_the_block_what_to_expect_3.jpg
9,Greenwich Village,2130e688-ed58-4d80-a76b-f0e9cfbd61eb,https://www.niche.com/places-to-live/n/greenwich-village-new-york-city-ny/,https://www.walkscore.com/NY/New_York/Greenwich_Village,https://www.compass.com/neighborhood-guides/nyc/greenwich-village/,https://streeteasy.com/neighborhoods/greenwich-village/,https://www.streetadvisor.com/greenwich-village-manhattan-new-york-city-new-york,https://www.cityrealty.com/nyc/greenwich-village,"https://images.ctfassets.net/ypfe9l9zihcg/aPw5T3RuIowEugI0ag8Sg/a555b25a670f5f75c7811cfbf18d9cd6/greenwich_village_greenwich_village_hero.jpg, https://images.ctfassets.net/ypfe9l9zihcg/3peM4GujhSsAkaKA22CE2S/b32bb38786fad136913c1676035eadf4/greenwich_village_around_the_block_what_to_expect_2a.jpg"
