Entity Name;Trade Name;License Number;Facility Type;Address;Address Zip Code;Location;Telephone Number;Number of Spaces
MP HUB PARKING LLC;;1258315;Parking Garage;"3000 3 AVENUE
BRONX, NY 10455";10455;40.8186692862,-73.9142716861;2124903460;272
EDISON NY PARKING LLC;;926765;Parking Lot;"160 LIVINGSTON STREET
BROOKLYN, NY 11201";11201;40.6903731466,-73.987731155;2124636000;100
GAMBARDELLA, ANTHONY;PALMER REALTY CO;959606;Parking Lot;"1602 CASTLE HILL AVENUE
BRONX, NY 10462";10462;40.8378654409,-73.852453388;9733019681;14
ALLIED JAMAICA, LLC;;1244445;Parking Garage;"88 11 165 STREET
JAMAICA, NY 11432";11432;40.7131153545,-73.7928209998;7182633800;269
BED-STUY GARAGE INC.;;1182222;Parking Garage;"1360 1406 FULTON STREET
BROOKLYN, NY 11216";11216;40.6807586709,-73.9492677509;7186231808;50
WEST 129TH STREET, L.L.C.;;959388;Parking Garage;"605 129 STREET
NEW YORK, NY 10027";10027;40.8164293585,-73.9580288884;2128887400;134
POST OFFICE GARAGE, LLC;MEYERS PARKING;1181008;Parking Garage;"340 348 WEST 31 STREET
NEW YORK, NY 10001";10001;40.7502590214,-73.9968863038;2125025490;255
CLINTON 53 PARKING LLC;;1263170;Parking Garage;"515 52 STREET
NEW YORK, NY 10019";10019;40.7664280871,-73.991953209;2126869800;83
QUIK PARK WEST 58TH LLC;;1275681;Parking Garage;"116 CENTRAL PARK
NEW YORK, NY 10019";10019;40.7661262277,-73.9772653246;2128322066;58
PARKING SERVICES PLUS INC;;1283348;Parking Lot;"1 ORCHARD BEACH ROAD
BRONX, NY 10464";10464;40.8657524825,-73.8055097871;5168254661;5863
DEAN STREET PARKING CORPORATION;;881522;Garage - Parking Lot Combo;"885 DEAN STREET
BROOKLYN, NY 11238";11238;40.6786773242,-73.9606158529;7183983409;160
X & Y GROUP, INC.;;1276437;Parking Lot;"42 27 UNION STREET
FLUSHING, NY 11355";11355;40.7512997969,-73.8214785479;7182885797;16
BV GARAGE CORP;GGMC;761544;Parking Garage;"245 54 STREET
NEW YORK, NY 10022";10022;40.7579130866,-73.9679076127;2129966363;178
CENTRAL PARKING SYSTEM OF NEW YORK INC;;1070451;Parking Garage;"350 30 STREET
NEW YORK, NY 10016";10016;40.7414128583,-73.9756555382;2127798311;68
CHAMPION PARK 85 LLC;;1341899;Parking Garage;"234 85 STREET
NEW YORK, NY 10028";10028;40.7774576853,-73.9528757112;2123085959;280
TOWNHOUSE PARKING LLC;;1319920;Parking Garage;"177 73 STREET
NEW YORK, NY 10021";10021;40.7706678039,-73.9606818264;2122881798;115
CLAREMONT PARKING CORP;;906438;Parking Garage;"480 RIVERSIDE DRIVE
NEW YORK, NY 10027";10027;40.8113357137,-73.9638929125;2128661000;200
615 GARAGE CORP;;900020;Garage - Parking Lot Combo;"800 5 AVENUE
NEW YORK, NY 10021";10021;40.769882244,-73.9688563048;2129355252;150
PROPARK AMERICA NEW YORK, LLC;;1171647;Parking Garage;"1090 AMSTERDAM AVENUE
NEW YORK, NY 10025";10025;40.8052478824,-73.962240916;2125231051;135
BREVOORT PARKING LLC;;1233573;Parking Garage;"20 9 STREET
NEW YORK, NY 10003";10003;40.732274319,-73.9946246642;2126869800;134
PARK RIGHT CORP;;882717;Parking Lot;"600 11 AVENUE
NEW YORK, NY 10036";10036;40.7627410094,-73.9968072199;2124597003;350
PARKCHESTER TREMONT PARKING CORP;;959012;Parking Lot;"2155 TREMONT AVENUE
BRONX, NY 10462";10462;40.8421189582,-73.857182576;7185416050;150
2721 NEIGHBORHOOD PARKING LOT CORP;;1333128;Parking Garage;"2721 BRONXWOOD AVENUE
BRONX, NY 10469";10469;40.8663375852,-73.8615823025;3474277606;50
STANDARD PARKING CORPORATION;;1251091;Parking Garage;"10420 QUEENS BOULEVARD
FOREST HILLS, NY 11375";11375;40.7235466238,-73.8491221754;2129163480;220
BIBLE HOLINESS CHURCH;;1009139;Parking Lot;"1982 1986 NOSTRAND AVENUE
BROOKLYN, NY 11210";11210;40.6277222639,-73.94653792;7188591045;25
D'ALMONTE ENTERPRISES PARKING GARAGE INC;;1303884;Parking Garage;"2080 JEROME AVENUE
BRONX, NY 10453";10453;40.8544557341,-73.9067552782;3478620100;70
CENTRAL PARKING SYSTEM OF NEW YORK, INC.;;1227911;Parking Garage;"159 02 JAMAICA AVENUE
QUEENS, NY 11432";11432;40.7131153545,-73.7928209998;7185260156;351
EAST 105TH STREET PARKING LLC;;1109621;Parking Garage;"156 105 STREET
NEW YORK, NY 10029";10029;40.7913612038,-73.9462926739;2126869800;89
